document_version_id,contest_name,profile_number,role,item_id,parent_item_id,level,original_name,normalized_name,hierarchy_path,confidence,evidence_page,evidence_text,bounding_box_x,bounding_box_y,bounding_box_width,bounding_box_height,review_status,extraction_method,ocr_engine,source_file,prompt_version,model_resolved,warnings
dataprev-edital-retificado-2026,Dataprev — Concurso Público 2026,1,PERFIL 1: ANÁLISE DE NEGÓCIOS DE TI,p01-s01-lingua-portuguesa,,subject,LÍNGUA PORTUGUESA,LÍNGUA PORTUGUESA,CONHECIMENTOS GERAIS > LÍNGUA PORTUGUESA,0.98,27,LÍNGUA PORTUGUESA,,,,,pending_human_review,deterministic_local_parser,cloudflare-ai,docs/pdfs-tests/edital-retificado-dataprev.pdf,,,"Resultado não aprovado; validar OCR, normalização e hierarquia antes do uso funcional."
dataprev-edital-retificado-2026,Dataprev — Concurso Público 2026,1,PERFIL 1: ANÁLISE DE NEGÓCIOS DE TI,p01-s01-lingua-portuguesa-t1,p01-s01-lingua-portuguesa,topic,Compreensão e interpretação de textos de gêneros variados,Compreensão e interpretação de textos de gêneros variados,CONHECIMENTOS GERAIS > LÍNGUA PORTUGUESA > 1 Compreensão e interpretação de textos de gêneros variados,0.96,27,1 Compreensão e interpretação de textos de gêneros variados,,,,,pending_human_review,deterministic_local_parser,cloudflare-ai,docs/pdfs-tests/edital-retificado-dataprev.pdf,,,"Resultado não aprovado; validar OCR, normalização e hierarquia antes do uso funcional."
dataprev-edital-retificado-2026,Dataprev — Concurso Público 2026,1,PERFIL 1: ANÁLISE DE NEGÓCIOS DE TI,p01-s01-lingua-portuguesa-t2,p01-s01-lingua-portuguesa,topic,Reconhecimento de tipos e gêneros textuais,Reconhecimento de tipos e gêneros textuais,CONHECIMENTOS GERAIS > LÍNGUA PORTUGUESA > 2 Reconhecimento de tipos e gêneros textuais,0.96,27,2 Reconhecimento de tipos e gêneros textuais,,,,,pending_human_review,deterministic_local_parser,cloudflare-ai,docs/pdfs-tests/edital-retificado-dataprev.pdf,,,"Resultado não aprovado; validar OCR, normalização e hierarquia antes do uso funcional."
dataprev-edital-retificado-2026,Dataprev — Concurso Público 2026,1,PERFIL 1: ANÁLISE DE NEGÓCIOS DE TI,p01-s01-lingua-portuguesa-t3,p01-s01-lingua-portuguesa,topic,Domínio da ortografia oficial,Domínio da ortografia oficial,CONHECIMENTOS GERAIS > LÍNGUA PORTUGUESA > 3 Domínio da ortografia oficial,0.96,27,3 Domínio da ortografia oficial,,,,,pending_human_review,deterministic_local_parser,cloudflare-ai,docs/pdfs-tests/edital-retificado-dataprev.pdf,,,"Resultado não aprovado; validar OCR, normalização e hierarquia antes do uso funcional."
dataprev-edital-retificado-2026,Dataprev — Concurso Público 2026,1,PERFIL 1: ANÁLISE DE NEGÓCIOS DE TI,p01-s01-lingua-portuguesa-t4,p01-s01-lingua-portuguesa,topic,Domínio dos mecanismos de coesão textual,Domínio dos mecanismos de coesão textual,CONHECIMENTOS GERAIS > LÍNGUA PORTUGUESA > 4 Domínio dos mecanismos de coesão textual,0.96,27,4 Domínio dos mecanismos de coesão textual,,,,,pending_human_review,deterministic_local_parser,cloudflare-ai,docs/pdfs-tests/edital-retificado-dataprev.pdf,,,"Resultado não aprovado; validar OCR, normalização e hierarquia antes do uso funcional."
dataprev-edital-retificado-2026,Dataprev — Concurso Público 2026,1,PERFIL 1: ANÁLISE DE NEGÓCIOS DE TI,p01-s01-lingua-portuguesa-st4-1,p01-s01-lingua-portuguesa-t4,subtopic,"Emprego de elementos de referenciação, substituição e repetição, de conectores e de outros elementos de sequenciação textual","Emprego de elementos de referenciação, substituição e repetição, de conectores e de outros elementos de sequenciação textual","CONHECIMENTOS GERAIS > LÍNGUA PORTUGUESA > 4.1 Emprego de elementos de referenciação, substituição e repetição, de conectores e de outros elementos de sequenciação textual",0.94,27,"4.1 Emprego de elementos de referenciação, substituição e repetição, de conectores e de outros elementos de sequenciação textual",,,,,pending_human_review,deterministic_local_parser,cloudflare-ai,docs/pdfs-tests/edital-retificado-dataprev.pdf,,,"Resultado não aprovado; validar OCR, normalização e hierarquia antes do uso funcional."
dataprev-edital-retificado-2026,Dataprev — Concurso Público 2026,1,PERFIL 1: ANÁLISE DE NEGÓCIOS DE TI,p01-s01-lingua-portuguesa-st4-2,p01-s01-lingua-portuguesa-t4,subtopic,Emprego de tempos e modos verbais,Emprego de tempos e modos verbais,CONHECIMENTOS GERAIS > LÍNGUA PORTUGUESA > 4.2 Emprego de tempos e modos verbais,0.94,27,4.2 Emprego de tempos e modos verbais,,,,,pending_human_review,deterministic_local_parser,cloudflare-ai,docs/pdfs-tests/edital-retificado-dataprev.pdf,,,"Resultado não aprovado; validar OCR, normalização e hierarquia antes do uso funcional."
dataprev-edital-retificado-2026,Dataprev — Concurso Público 2026,1,PERFIL 1: ANÁLISE DE NEGÓCIOS DE TI,p01-s01-lingua-portuguesa-t5,p01-s01-lingua-portuguesa,topic,Domínio da estrutura morfossintática do período,Domínio da estrutura morfossintática do período,CONHECIMENTOS GERAIS > LÍNGUA PORTUGUESA > 5 Domínio da estrutura morfossintática do período,0.96,27,5 Domínio da estrutura morfossintática do período,,,,,pending_human_review,deterministic_local_parser,cloudflare-ai,docs/pdfs-tests/edital-retificado-dataprev.pdf,,,"Resultado não aprovado; validar OCR, normalização e hierarquia antes do uso funcional."
dataprev-edital-retificado-2026,Dataprev — Concurso Público 2026,1,PERFIL 1: ANÁLISE DE NEGÓCIOS DE TI,p01-s01-lingua-portuguesa-st5-1,p01-s01-lingua-portuguesa-t5,subtopic,Emprego das classes de palavras,Emprego das classes de palavras,CONHECIMENTOS GERAIS > LÍNGUA PORTUGUESA > 5.1 Emprego das classes de palavras,0.94,27,5.1 Emprego das classes de palavras,,,,,pending_human_review,deterministic_local_parser,cloudflare-ai,docs/pdfs-tests/edital-retificado-dataprev.pdf,,,"Resultado não aprovado; validar OCR, normalização e hierarquia antes do uso funcional."
dataprev-edital-retificado-2026,Dataprev — Concurso Público 2026,1,PERFIL 1: ANÁLISE DE NEGÓCIOS DE TI,p01-s01-lingua-portuguesa-st5-2,p01-s01-lingua-portuguesa-t5,subtopic,Relações de coordenação entre orações e entre termos da oração,Relações de coordenação entre orações e entre termos da oração,CONHECIMENTOS GERAIS > LÍNGUA PORTUGUESA > 5.2 Relações de coordenação entre orações e entre termos da oração,0.94,27,5.2 Relações de coordenação entre orações e entre termos da oração,,,,,pending_human_review,deterministic_local_parser,cloudflare-ai,docs/pdfs-tests/edital-retificado-dataprev.pdf,,,"Resultado não aprovado; validar OCR, normalização e hierarquia antes do uso funcional."
dataprev-edital-retificado-2026,Dataprev — Concurso Público 2026,1,PERFIL 1: ANÁLISE DE NEGÓCIOS DE TI,p01-s01-lingua-portuguesa-st5-3,p01-s01-lingua-portuguesa-t5,subtopic,Relações de subordinação entre orações e entre termos da oração,Relações de subordinação entre orações e entre termos da oração,CONHECIMENTOS GERAIS > LÍNGUA PORTUGUESA > 5.3 Relações de subordinação entre orações e entre termos da oração,0.94,27,5.3 Relações de subordinação entre orações e entre termos da oração,,,,,pending_human_review,deterministic_local_parser,cloudflare-ai,docs/pdfs-tests/edital-retificado-dataprev.pdf,,,"Resultado não aprovado; validar OCR, normalização e hierarquia antes do uso funcional."
dataprev-edital-retificado-2026,Dataprev — Concurso Público 2026,1,PERFIL 1: ANÁLISE DE NEGÓCIOS DE TI,p01-s01-lingua-portuguesa-st5-4,p01-s01-lingua-portuguesa-t5,subtopic,Emprego dos sinais de pontuação,Emprego dos sinais de pontuação,CONHECIMENTOS GERAIS > LÍNGUA PORTUGUESA > 5.4 Emprego dos sinais de pontuação,0.94,27,5.4 Emprego dos sinais de pontuação,,,,,pending_human_review,deterministic_local_parser,cloudflare-ai,docs/pdfs-tests/edital-retificado-dataprev.pdf,,,"Resultado não aprovado; validar OCR, normalização e hierarquia antes do uso funcional."
